tanggal,jam,suhu_celsius,hari_libur,jumlah_penghuni,jumlah_perangkat_aktif,jam_penggunaan_rata_rata,konsumsi_kwh
2000-05-07,6,25.43,0,5,7,11.5,18.694
2000-05-08,13,30.03,0,4,7,9.81,17.936
2000-05-09,21,31.35,0,4,13,8.06,24.451
2000-05-10,5,30.27,0,2,10,9.39,19.732
2000-05-11,19,28.32,0,4,8,9.41,18.966
2000-05-12,14,28.8,0,5,12,7.37,18.683
2000-05-13,20,29.77,1,2,13,7.59,23.133
2000-05-14,20,27.67,0,2,13,11.1,19.611
2000-05-15,19,26.08,0,6,5,9.01,16.203
2000-05-16,15,30.38,0,4,14,7.93,23.333
2000-05-17,9,30.28,0,6,3,9.2,18.837
2000-05-18,8,28.49,0,2,8,6.68,15.239
2000-05-19,22,26.52,0,2,7,8.4,13.46
2000-05-20,17,30.22,0,2,15,9.01,22.146
2000-05-21,17,26.98,0,6,7,9.73,19.667
2000-05-22,19,30.44,0,4,6,7.82,16.957
2000-05-23,21,31.03,0,3,7,6.97,20.75
2000-05-24,8,31.3,0,4,15,9.84,27.387
2000-05-25,22,30.14,0,6,12,9.19,23.399
2000-05-26,6,29.45,0,3,7,9.28,17.214
2000-05-27,20,29.02,0,2,7,8.98,18.181
2000-05-28,9,26.58,0,1,12,9.06,15.553
2000-05-29,21,27.12,1,2,11,11.15,21.241
2000-05-30,15,28.12,0,1,10,9.31,14.479
2000-05-31,22,29.72,0,6,3,9.75,18.462
2000-06-01,7,30.23,1,3,13,11.3,25.458
2000-06-02,19,28.98,0,3,7,6.49,15.257
2000-06-03,18,30.99,0,3,12,9.03,24.868
2000-06-04,17,29.52,0,4,6,10.48,20.256
2000-06-05,22,32.05,0,1,10,7.85,22.866
2000-06-06,20,28.8,0,2,7,8.0,14.875
2000-06-07,17,29.49,0,6,12,7.33,23.269
2000-06-08,14,31.35,0,1,7,8.3,17.926
2000-06-09,21,29.9,0,4,7,9.17,18.057
2000-06-10,9,31.86,0,6,9,11.13,29.035
2000-06-11,17,31.18,0,2,12,8.39,23.675
2000-06-12,19,28.74,0,5,9,6.88,17.339
2000-06-13,22,32.53,0,4,3,8.73,21.126
2000-06-14,15,29.25,0,3,7,8.56,15.299
2000-06-15,7,27.28,0,3,14,7.16,20.016
2000-06-16,18,31.3,0,6,5,7.92,18.332
2000-06-17,22,29.82,0,6,13,9.52,23.728
2000-06-18,20,29.05,0,4,14,8.96,21.874
2000-06-19,22,30.74,0,4,6,7.78,18.963
2000-06-20,19,30.52,0,1,10,9.41,17.277
2000-06-21,22,32.17,0,4,11,9.39,26.716
2000-06-22,19,28.53,0,1,10,8.17,16.555
2000-06-23,18,29.84,0,6,11,8.23,21.559
2000-06-24,19,29.22,0,3,14,7.82,19.329
2000-06-25,18,28.53,0,5,7,11.18,20.682
2000-06-26,20,28.38,0,2,4,8.88,13.237
2000-06-27,9,30.25,0,4,5,7.26,17.312
2000-06-28,21,31.02,0,4,15,8.91,25.897
2000-06-29,18,30.24,0,1,15,6.2,18.44
2000-06-30,18,29.49,0,5,15,7.3,22.441
2000-07-01,20,29.26,0,6,12,7.55,24.573
2000-07-02,19,31.07,0,2,3,11.39,19.512
2000-07-03,19,30.76,0,2,7,9.68,19.034
2000-07-04,13,31.19,0,5,9,9.78,22.859
2000-07-05,22,30.03,0,3,3,6.27,14.75
2000-07-06,20,27.74,0,2,11,7.64,15.443
2000-07-07,20,33.16,0,4,3,9.63,27.406
2000-07-08,20,28.9,0,1,12,9.66,19.039
2000-07-09,9,29.51,0,3,12,9.98,21.059
2000-07-10,22,31.11,0,6,11,9.21,22.821
2000-07-11,22,31.1,0,6,12,8.75,27.221
2000-07-12,8,31.71,0,4,5,8.98,21.059
2000-07-13,18,30.97,0,3,10,6.4,19.561
2000-07-14,20,29.9,0,3,8,9.5,18.216
2000-07-15,14,30.27,0,2,7,7.88,18.234
2000-07-16,18,30.44,0,6,10,11.22,24.523
2000-07-17,21,31.64,0,5,8,7.49,22.011
2000-07-18,23,28.89,1,2,14,7.84,18.793
2000-07-19,19,32.85,0,4,9,8.31,25.992
2000-07-20,20,32.38,0,6,12,7.26,29.387
2000-07-21,20,30.85,0,3,6,8.47,17.007
2000-07-22,19,28.92,0,1,8,10.82,16.083
2000-07-23,19,28.96,0,5,6,9.23,18.712
2000-07-24,21,30.63,0,3,7,9.91,19.074
2000-07-25,16,30.48,0,4,10,6.38,19.254
2000-07-26,17,31.85,0,5,4,7.82,21.149
2000-07-27,5,31.94,0,3,10,7.04,22.59
2000-07-28,22,31.22,0,6,11,8.56,23.531
2000-07-29,17,34.22,0,2,5,9.24,26.804
2000-07-30,15,28.26,0,4,15,9.19,20.319
2000-07-31,22,31.31,0,3,11,8.14,22.294
2000-08-01,13,29.29,0,3,11,7.78,17.421
2000-08-02,19,27.51,0,4,11,6.53,17.42
2000-08-03,22,31.22,0,5,13,8.95,24.693
2000-08-04,5,31.6,0,5,11,7.51,24.028
2000-08-05,19,32.27,0,3,15,7.84,23.542
2000-08-06,18,33.6,0,4,8,8.33,27.968
2000-08-07,18,29.07,0,4,15,7.77,22.425
2000-08-08,12,28.99,0,5,11,9.22,20.577
2000-08-09,18,29.84,0,1,12,7.49,14.948
2000-08-10,21,29.8,0,1,4,6.68,13.34
2000-08-11,16,29.61,0,3,5,8.92,14.987
2000-08-12,20,30.8,0,4,10,10.5,22.81
2000-08-13,11,29.65,0,2,7,10.16,16.983
2000-08-14,20,30.5,0,1,12,8.66,19.143
2000-08-15,18,28.43,0,2,6,6.08,13.235
2000-08-16,21,29.85,0,1,13,7.8,17.225
2000-08-17,21,30.11,1,1,12,10.91,20.623
2000-08-18,21,28.98,0,3,5,9.26,15.531
2000-08-19,22,26.61,0,1,9,11.07,16.355
2000-08-20,9,27.63,0,2,6,9.39,14.305
2000-08-21,21,27.45,0,1,14,8.49,16.606
2000-08-22,5,31.57,0,4,11,9.7,24.314
2000-08-23,15,30.09,0,6,15,8.43,23.933
2000-08-24,20,32.13,0,2,11,7.26,22.873
2000-08-25,16,29.29,0,2,9,9.78,17.844
2000-08-26,8,31.02,0,1,5,7.88,16.03
2000-08-27,11,32.61,0,2,7,11.44,23.92
2000-08-28,7,29.71,0,2,15,8.4,21.129
2000-08-29,17,30.27,0,1,9,6.35,14.959
2000-08-30,18,29.15,0,1,8,9.25,15.146
2000-08-31,17,28.13,0,5,8,7.21,16.128
2000-09-01,17,28.09,0,1,13,8.92,16.468
2000-09-02,22,30.47,0,4,15,11.42,21.922
2000-09-03,21,32.16,0,1,9,8.4,23.153
2000-09-04,21,29.39,0,1,14,7.29,17.147
2000-09-05,18,28.79,0,3,6,8.92,14.82
2000-09-06,23,29.26,1,4,8,10.6,20.063
2000-09-07,20,30.65,0,4,5,7.11,19.516
2000-09-08,15,32.14,0,5,7,9.71,21.963
2000-09-09,19,31.96,0,2,9,10.44,24.984
2000-09-10,18,29.4,0,1,15,10.77,19.242
2000-09-11,21,27.67,0,4,8,6.58,14.465
2000-09-12,23,26.3,0,4,14,6.75,19.401
2000-09-13,22,27.65,0,5,9,6.85,16.149
2000-09-14,17,29.0,0,6,10,8.95,19.202
2000-09-15,13,29.65,0,6,11,8.88,22.143
2000-09-16,10,28.51,0,5,3,10.85,17.803
2000-09-17,21,28.33,0,5,4,9.24,16.209
2000-09-18,18,32.01,0,1,15,7.4,22.733
2000-09-19,20,27.74,0,4,13,8.05,19.072
2000-09-20,17,31.58,0,3,15,6.87,24.948
2000-09-21,22,30.85,0,2,8,9.81,17.953
2000-09-22,17,29.58,0,4,14,9.46,23.715
2000-09-23,22,30.53,0,3,8,11.18,21.34
2000-09-24,22,31.12,0,4,8,7.84,21.042
2000-09-25,22,29.2,0,2,12,6.73,17.481
2000-09-26,20,30.48,0,3,4,8.35,17.084
2000-09-27,20,28.59,0,5,7,7.38,17.854
2000-09-28,22,32.57,1,5,7,8.24,25.288
2000-09-29,20,28.58,0,6,12,6.14,18.889
2000-09-30,16,26.94,0,6,14,8.15,23.376
2000-10-01,19,32.47,0,5,15,9.47,30.033
2000-10-02,17,27.45,0,2,5,7.1,12.238
2000-10-03,22,30.83,0,4,13,8.47,22.107
2000-10-04,21,27.29,0,5,13,7.43,18.69
2000-10-05,20,29.24,0,4,5,7.1,14.401
2000-10-06,18,29.58,0,6,3,9.55,18.483
2000-10-07,21,29.01,0,6,9,9.74,22.753
2000-10-08,18,29.11,0,2,12,8.78,18.462
2000-10-09,18,28.51,0,1,6,9.33,13.152
2000-10-10,16,27.81,0,5,13,8.31,19.216
2000-10-11,19,29.23,0,3,14,9.55,20.348
2000-10-12,21,28.68,0,4,15,7.66,18.66
2000-10-13,17,27.36,0,2,13,8.41,16.464
2000-10-14,20,27.42,0,5,11,10.43,21.344
2000-10-15,20,27.66,0,3,3,11.21,15.139
2000-10-16,13,27.01,0,6,8,9.03,18.89
2000-10-17,19,26.12,0,5,3,8.33,16.16
2000-10-18,22,28.76,0,6,13,6.39,20.766
2000-10-19,19,28.98,0,5,10,9.49,19.774
2000-10-20,18,30.12,0,6,6,8.11,18.505
2000-10-21,17,29.62,0,6,7,9.96,23.376
2000-10-22,9,26.14,0,2,15,8.05,21.203
2000-10-23,19,29.75,0,5,6,9.42,17.609
2000-10-24,14,26.35,0,4,11,6.95,18.564
2000-10-25,21,28.9,0,4,4,6.51,13.728
2000-10-26,15,27.29,0,1,12,9.74,16.857
2000-10-27,18,26.72,0,1,12,9.69,15.915
2000-10-28,21,28.21,0,1,7,7.84,14.492
2000-10-29,15,29.3,0,1,10,10.78,20.456
2000-10-30,18,29.82,0,3,11,9.38,21.785
2000-10-31,23,26.5,0,6,3,8.41,16.051
2000-11-01,11,25.79,0,3,14,8.57,21.07
2000-11-02,17,27.29,0,6,11,7.04,19.52
2000-11-03,18,26.97,0,4,15,9.1,19.706
2000-11-04,17,25.9,0,6,9,10.58,21.808
2000-11-05,19,28.61,0,2,8,10.74,17.688
2000-11-06,20,28.32,0,2,5,9.32,13.14
2000-11-07,17,27.4,0,6,14,9.12,22.359
2000-11-08,6,29.11,0,1,11,6.71,15.21
2000-11-09,20,30.25,0,3,7,7.72,15.887
2000-11-10,22,27.85,0,1,7,8.91,12.48
2000-11-11,18,27.46,0,2,11,8.44,18.165
2000-11-12,7,26.44,0,3,9,10.42,17.785
2000-11-13,21,28.92,0,3,5,8.85,14.552
2000-11-14,9,25.17,0,3,12,7.45,16.647
2000-11-15,18,26.86,0,6,8,9.72,20.017
2000-11-16,17,26.35,0,5,14,7.38,20.874
2000-11-17,8,27.74,0,6,9,7.39,17.531
2000-11-18,17,28.41,0,5,14,8.89,20.965
2000-11-19,8,29.8,0,2,14,8.75,20.521
2000-11-20,9,28.25,0,5,4,7.22,14.424
2000-11-21,19,26.77,0,5,13,9.46,17.991
2000-11-22,21,29.12,0,1,14,9.03,20.107
2000-11-23,13,27.06,0,5,11,8.64,19.36
2000-11-24,8,25.59,0,5,5,6.86,13.605
2000-11-25,19,27.48,0,1,11,10.7,16.105
2000-11-26,13,28.5,0,1,9,9.83,15.784
2000-11-27,23,26.52,0,1,15,9.39,17.375
2000-11-28,11,28.05,0,1,14,9.48,17.419
2000-11-29,18,28.32,0,5,7,9.9,19.029
2000-11-30,13,26.69,0,2,11,9.31,15.573
2000-12-01,21,26.19,0,1,14,6.7,16.726
2000-12-02,18,26.65,1,1,10,10.36,15.388
2000-12-03,18,28.15,0,1,15,10.54,20.623
2000-12-04,19,26.87,0,3,13,6.73,17.432
2000-12-05,20,28.75,0,2,11,8.29,18.495
2000-12-06,9,29.02,0,4,13,6.88,17.07
2000-12-07,19,26.96,0,3,11,8.61,19.085
2000-12-08,22,27.26,0,6,14,6.83,21.267
2000-12-09,15,25.46,0,6,14,7.76,20.874
2000-12-10,18,25.71,0,2,6,9.78,13.787
2000-12-11,22,25.69,0,5,9,6.74,18.248
2000-12-12,20,25.51,0,5,3,9.18,14.503
2000-12-13,18,24.67,0,4,12,9.02,20.187
2000-12-14,18,26.61,0,4,3,7.8,12.725
2000-12-15,18,25.21,0,1,7,9.79,15.134
2000-12-16,6,25.04,0,6,5,9.9,19.907
2000-12-17,17,26.07,0,2,5,7.97,13.302
2000-12-18,17,22.59,0,3,9,6.78,14.023
2000-12-19,19,27.31,1,4,6,10.19,16.482
2000-12-20,17,27.2,0,6,14,7.07,19.178
2000-12-21,20,27.48,0,4,4,9.17,15.762
2000-12-22,22,27.72,0,3,3,9.28,14.401
2000-12-23,11,24.9,0,2,13,8.71,18.52
2000-12-24,10,24.04,0,1,4,8.1,13.367
2000-12-25,17,28.03,1,1,15,10.08,18.671
2000-12-26,5,25.92,0,3,12,6.96,17.151
2000-12-27,19,24.95,0,5,14,9.09,21.0
2000-12-28,19,27.08,0,3,11,8.72,17.026
2000-12-29,19,27.35,0,4,12,6.53,17.719
2000-12-30,18,25.66,0,2,6,9.52,15.77
2000-12-31,18,28.48,0,6,7,8.64,20.624
2001-01-01,6,23.62,1,3,15,11.07,21.419
2001-01-02,17,26.88,0,5,12,9.02,20.864
2001-01-03,21,27.04,0,3,12,6.74,16.038
2001-01-04,19,26.3,0,2,5,7.04,12.061
2001-01-05,22,23.52,0,3,4,6.11,12.339
2001-01-06,17,27.11,0,2,5,9.98,13.85
2001-01-07,20,24.99,0,5,14,11.41,23.49
2001-01-08,9,24.49,0,1,7,6.66,11.605
2001-01-09,20,24.97,0,3,8,8.9,15.476
2001-01-10,18,26.18,0,5,11,6.44,16.352
2001-01-11,17,25.16,0,3,4,6.8,13.853
2001-01-12,12,24.4,0,2,9,9.34,15.189
2001-01-13,11,27.04,0,5,14,8.96,21.289
2001-01-14,13,25.87,0,3,13,7.88,17.935
2001-01-15,22,24.75,0,2,3,9.7,11.848
2001-01-16,10,26.79,0,2,15,9.37,18.654
2001-01-17,15,24.7,0,1,6,6.06,11.16
2001-01-18,18,23.58,0,2,3,9.92,12.038
2001-01-19,18,25.21,0,4,15,7.7,19.604
2001-01-20,15,25.98,0,3,12,11.08,21.081
2001-01-21,19,26.08,0,6,3,8.73,18.333
2001-01-22,17,28.28,0,2,14,9.54,18.554
2001-01-23,17,26.41,0,5,10,7.19,16.702
2001-01-24,18,24.03,0,6,11,8.96,21.142
2001-01-25,17,26.17,0,2,7,9.47,14.702
2001-01-26,17,26.22,0,2,11,8.32,17.136
2001-01-27,17,27.98,0,2,4,9.38,14.534
2001-01-28,22,27.66,1,6,6,10.79,21.817
2001-01-29,20,25.18,0,4,6,7.54,14.664
2001-01-30,18,25.81,0,5,10,6.68,17.145
2001-01-31,14,27.3,0,5,12,9.18,20.138
2001-02-01,21,26.79,0,2,13,7.32,17.149
2001-02-02,21,27.14,0,4,10,6.06,16.527
2001-02-03,5,24.22,0,3,3,10.66,15.483
2001-02-04,19,27.05,0,5,13,8.38,21.491
2001-02-05,16,24.15,0,3,15,7.25,20.048
2001-02-06,21,25.11,0,3,14,7.38,19.47
2001-02-07,11,25.74,0,3,7,8.64,14.222
2001-02-08,20,27.82,0,5,15,9.11,22.881
2001-02-09,20,24.7,0,3,5,9.1,13.75
2001-02-10,18,24.4,0,4,14,7.67,19.184
2001-02-11,20,25.86,0,2,11,11.07,17.932
2001-02-12,18,26.0,0,6,13,6.44,19.28
2001-02-13,7,23.17,0,1,15,6.4,17.527
2001-02-14,19,22.0,0,3,7,9.59,15.595
2001-02-15,10,26.17,0,1,5,8.69,11.699
2001-02-16,14,23.18,0,5,5,8.37,14.931
2001-02-17,20,24.94,0,3,15,11.21,23.11
2001-02-18,21,27.29,0,6,4,9.91,17.334
2001-02-19,20,25.41,0,3,6,8.28,14.348
2001-02-20,18,26.93,0,4,11,7.7,17.154
2001-02-21,21,26.78,0,4,3,8.04,14.076
2001-02-22,14,26.6,0,1,4,9.78,11.874
2001-02-23,20,26.23,0,1,4,9.73,11.704
2001-02-24,19,24.97,0,3,10,10.71,20.99
2001-02-25,21,23.32,0,4,11,10.3,21.13
2001-02-26,9,25.61,0,6,11,8.3,21.092
2001-02-27,6,27.57,0,2,10,9.61,15.527
2001-02-28,21,27.79,0,5,13,8.89,20.487
2001-03-01,23,25.85,0,3,13,7.1,17.773
2001-03-02,10,26.45,0,4,15,6.19,17.488
2001-03-03,18,28.33,0,3,8,7.93,16.934
2001-03-04,5,23.92,0,4,6,8.05,16.395
2001-03-05,19,25.04,0,4,6,8.57,14.947
2001-03-06,20,28.61,0,1,11,8.67,14.961
2001-03-07,20,26.44,0,2,10,7.7,15.412
2001-03-08,17,23.81,0,2,10,6.6,15.071
2001-03-09,21,28.61,0,4,6,9.82,17.884
2001-03-10,20,26.39,0,2,14,9.13,19.908
2001-03-11,13,27.41,1,5,11,10.0,21.6
2001-03-12,18,26.44,0,4,9,6.54,16.45
2001-03-13,18,27.24,0,5,3,7.72,14.041
2001-03-14,7,25.31,0,3,7,6.02,13.931
2001-03-15,16,26.81,0,1,7,6.68,11.989
2001-03-16,15,29.04,0,5,7,6.14,17.382
2001-03-17,19,27.15,0,2,9,11.37,17.11
2001-03-18,15,25.82,0,1,5,10.7,12.39
2001-03-19,20,28.12,0,6,5,6.25,16.31
2001-03-20,19,25.55,0,1,5,9.24,12.877
2001-03-21,12,26.11,0,5,3,6.11,13.71
2001-03-22,18,26.99,0,6,15,7.21,23.553
2001-03-23,13,27.0,0,6,11,9.15,20.231
2001-03-24,19,26.88,0,4,3,9.98,16.114
2001-03-25,21,25.96,0,6,6,10.02,20.451
2001-03-26,5,28.12,0,4,7,6.0,15.739
2001-03-27,20,24.49,0,3,15,7.21,18.442
2001-03-28,17,22.94,0,4,11,9.44,18.592
2001-03-29,9,25.3,0,6,6,7.29,15.627
2001-03-30,20,30.58,0,2,8,8.16,16.754
2001-03-31,19,25.54,0,5,13,11.35,21.035
2001-04-01,15,28.15,0,6,9,10.53,22.132
2001-04-02,21,25.79,0,1,4,8.06,10.406
2001-04-03,21,28.06,0,1,9,8.16,13.659
2001-04-04,21,29.27,0,2,6,7.09,14.953
2001-04-05,19,27.08,0,3,9,7.55,16.815
2001-04-06,21,28.84,0,1,4,9.83,13.094
2001-04-07,18,28.49,0,3,8,10.89,17.7
2001-04-08,17,26.79,0,6,10,9.85,23.01
2001-04-09,21,25.53,0,5,3,10.0,14.624
2001-04-10,22,25.4,0,3,7,9.77,15.673
2001-04-11,18,28.35,0,3,3,8.87,14.564
2001-04-12,13,25.58,0,6,6,9.95,16.834
2001-04-13,22,26.12,0,1,3,6.22,10.56
2001-04-14,23,25.3,0,4,14,7.87,22.736
2001-04-15,14,27.8,0,5,3,10.41,16.673
2001-04-16,19,28.64,0,2,11,8.46,16.746
2001-04-17,21,25.1,0,5,4,9.2,14.361
2001-04-18,18,27.81,0,6,13,6.52,22.058
2001-04-19,18,28.79,0,6,9,8.41,18.969
2001-04-20,10,29.67,0,1,11,6.77,14.904
2001-04-21,20,26.54,0,6,6,10.72,19.89
2001-04-22,6,27.93,0,6,5,10.31,17.011
2001-04-23,8,27.76,0,1,8,9.89,15.751
2001-04-24,19,28.84,0,1,11,9.66,14.388
2001-04-25,11,29.95,0,5,11,9.86,20.415
2001-04-26,21,27.35,0,6,15,6.13,20.861
2001-04-27,14,28.86,0,4,11,8.46,20.007
2001-04-28,19,31.87,0,1,15,10.02,24.608
2001-04-29,17,27.41,1,1,13,8.22,16.997
2001-04-30,11,27.74,0,1,10,9.36,14.286
2001-05-01,19,28.0,1,6,10,8.17,23.074
2001-05-02,10,28.25,0,3,14,8.57,19.706
2001-05-03,11,30.06,0,3,5,6.61,14.566
2001-05-04,16,26.17,0,1,6,8.48,12.893
2001-05-05,15,28.85,0,3,7,8.17,15.26
2001-05-06,10,25.86,0,3,6,7.51,15.802
2001-05-07,5,29.88,0,2,4,7.62,12.911
2001-05-08,18,26.75,0,2,6,6.05,11.288
2001-05-09,16,28.44,0,2,10,6.71,15.921
2001-05-10,21,28.12,0,2,6,8.6,15.299
2001-05-11,13,25.98,0,4,15,7.39,21.608
2001-05-12,16,27.98,0,4,3,8.69,14.419
2001-05-13,17,30.17,0,3,9,10.01,19.006
2001-05-14,5,26.77,0,6,9,6.83,18.797
2001-05-15,22,28.39,0,6,5,8.89,18.679
2001-05-16,23,27.37,1,1,12,7.93,16.487
2001-05-17,14,30.62,0,4,15,7.37,22.569
2001-05-18,18,31.88,0,3,12,6.33,21.537
2001-05-19,18,27.72,0,3,6,9.62,16.868
2001-05-20,18,27.34,0,3,5,9.61,15.624
2001-05-21,22,29.91,0,5,12,9.98,24.939
2001-05-22,23,28.32,0,5,11,9.98,22.617
2001-05-23,22,28.94,0,1,9,9.67,16.158
2001-05-24,22,28.82,0,1,10,6.93,14.424
2001-05-25,17,27.36,0,1,15,7.96,18.0
2001-05-26,13,29.24,0,2,14,8.83,20.114
2001-05-27,16,30.43,0,2,8,11.42,20.791
2001-05-28,21,29.97,0,3,8,9.07,17.935
2001-05-29,17,27.99,0,5,10,7.48,18.843
2001-05-30,18,30.56,0,6,7,6.11,19.663
2001-05-31,17,27.38,0,2,7,8.68,15.109
2001-06-01,6,26.01,1,1,11,8.33,15.879
2001-06-02,21,32.29,0,2,12,9.64,25.632
2001-06-03,18,29.99,0,1,11,11.4,20.395
2001-06-04,20,28.37,0,4,6,7.57,16.607
2001-06-05,19,26.8,0,3,10,7.23,18.307
2001-06-06,19,29.52,0,5,4,8.78,17.918
2001-06-07,21,30.17,0,6,15,9.71,24.463
2001-06-08,15,27.73,0,1,15,9.72,18.46
2001-06-09,8,29.83,0,2,13,9.97,20.932
2001-06-10,20,28.93,0,5,8,9.32,19.6
2001-06-11,12,30.6,0,6,11,8.84,26.168
2001-06-12,22,30.48,0,2,15,8.2,19.38
2001-06-13,18,31.97,0,2,14,6.37,24.625
2001-06-14,20,31.6,0,5,5,6.47,21.172
2001-06-15,9,28.39,0,3,11,9.55,16.305
2001-06-16,20,30.35,0,1,6,10.0,16.033
2001-06-17,20,25.15,0,1,12,8.54,17.175
2001-06-18,22,31.92,1,4,8,7.77,24.494
2001-06-19,10,31.35,0,5,3,9.73,18.198
2001-06-20,20,28.26,0,6,3,6.11,14.201
2001-06-21,18,28.45,1,4,8,8.6,16.607
2001-06-22,7,30.38,0,4,9,8.3,17.74
2001-06-23,18,28.63,0,2,9,9.73,19.356
2001-06-24,21,27.85,0,2,9,11.31,17.604
2001-06-25,20,27.3,0,4,15,6.83,21.191
2001-06-26,15,30.74,0,5,11,7.75,22.926
2001-06-27,20,29.92,0,4,11,9.29,21.515
2001-06-28,22,31.36,0,3,14,6.97,21.26
2001-06-29,19,32.28,0,1,10,9.94,20.333
2001-06-30,21,28.21,0,1,4,11.31,12.895
2001-07-01,18,30.03,0,6,9,8.85,23.481
2001-07-02,18,30.0,0,1,13,6.69,18.903
2001-07-03,17,30.9,0,3,9,8.48,21.363
2001-07-04,7,29.51,0,2,4,9.55,15.189
2001-07-05,17,29.93,0,1,7,6.7,15.701
2001-07-06,8,27.05,0,2,15,6.3,17.418
2001-07-07,22,30.57,0,2,15,10.23,21.273
2001-07-08,18,30.96,0,3,7,9.38,19.085
2001-07-09,17,30.03,0,5,7,8.0,19.645
2001-07-10,21,30.68,0,6,11,7.72,22.415
2001-07-11,12,32.57,0,1,15,6.76,26.107
2001-07-12,20,31.4,0,4,14,9.04,25.951
2001-07-13,18,30.74,0,3,14,9.04,20.693
2001-07-14,6,28.63,0,3,15,10.31,20.817
2001-07-15,17,30.9,0,3,5,8.3,18.763
2001-07-16,17,28.79,0,1,10,8.54,15.213
2001-07-17,22,33.21,0,1,6,9.12,23.744
2001-07-18,18,32.4,0,2,14,8.0,26.505
2001-07-19,17,31.79,0,4,4,8.49,19.182
2001-07-20,22,29.75,0,4,15,7.48,21.287
2001-07-21,18,30.37,0,3,11,9.12,20.065
2001-07-22,19,30.31,0,6,14,8.3,23.873
2001-07-23,17,29.64,0,6,11,7.68,21.86
2001-07-24,23,29.74,0,3,7,8.57,17.116
2001-07-25,17,31.45,0,4,9,7.2,20.099
2001-07-26,17,28.35,0,2,7,9.44,14.063
2001-07-27,19,32.27,0,3,10,8.61,24.636
2001-07-28,18,29.99,0,1,9,11.43,18.504
2001-07-29,20,30.92,0,2,7,11.09,20.43
2001-07-30,17,29.63,0,1,9,7.2,15.133
2001-07-31,7,31.85,0,3,5,9.04,21.129
2001-08-01,17,30.94,0,4,11,7.92,21.894
2001-08-02,21,34.03,0,3,12,8.43,31.984
2001-08-03,17,30.54,0,5,7,6.5,19.229
2001-08-04,21,29.14,0,1,8,11.12,15.15
2001-08-05,21,31.32,0,3,14,9.44,24.5
2001-08-06,20,29.21,0,2,7,6.78,14.744
2001-08-07,14,32.9,0,1,4,7.13,17.92
2001-08-08,6,29.92,0,5,13,8.86,22.848
2001-08-09,20,30.68,0,5,7,7.02,20.214
2001-08-10,19,29.27,0,1,12,8.78,18.33
2001-08-11,18,30.89,0,5,7,10.63,22.561
2001-08-12,20,30.29,0,6,8,9.42,23.792
2001-08-13,18,29.73,0,1,13,8.26,18.968
2001-08-14,22,27.62,0,6,9,8.01,16.53
2001-08-15,19,29.84,0,4,10,8.66,20.96
2001-08-16,23,30.7,0,2,4,7.01,15.54
2001-08-17,23,30.23,1,2,12,9.28,22.153
2001-08-18,17,31.53,0,2,10,8.61,21.316
2001-08-19,9,30.08,0,4,4,9.95,15.821
2001-08-20,21,29.5,0,4,10,6.65,19.557
2001-08-21,21,28.31,0,2,9,6.79,14.041
2001-08-22,7,29.37,0,1,11,9.23,17.485
2001-08-23,19,29.91,0,6,8,9.53,18.017
2001-08-24,22,27.49,0,1,8,9.71,13.056
2001-08-25,18,28.89,0,6,5,9.41,19.578
2001-08-26,22,27.88,0,4,6,7.84,16.951
2001-08-27,20,30.36,0,4,3,9.02,16.629
2001-08-28,21,28.42,0,1,10,6.64,14.088
2001-08-29,14,31.54,0,4,11,8.89,24.209
2001-08-30,17,31.74,0,1,6,6.33,16.851
2001-08-31,12,29.75,0,2,14,6.05,18.265
2001-09-01,22,28.87,0,6,3,10.69,18.777
2001-09-02,19,27.73,0,3,6,8.4,15.189
2001-09-03,22,31.63,0,3,8,8.82,22.634
2001-09-04,18,30.01,0,5,4,8.5,17.061
2001-09-05,22,29.48,0,6,5,7.47,19.536
2001-09-06,19,29.38,0,6,7,9.29,18.078
2001-09-07,18,29.31,0,6,3,7.85,16.281
2001-09-08,18,30.07,0,4,12,8.55,21.716
2001-09-09,17,29.66,0,1,3,7.58,13.929
2001-09-10,18,30.52,0,1,15,9.23,22.003
2001-09-11,14,28.22,0,3,6,8.68,13.799
2001-09-12,20,28.09,0,6,6,9.34,18.176
2001-09-13,14,31.33,0,2,12,6.35,21.131
2001-09-14,21,30.74,0,6,11,7.75,24.972
2001-09-15,17,29.46,0,6,4,7.96,18.177
2001-09-16,18,32.77,0,5,9,11.32,24.331
2001-09-17,22,29.97,0,1,6,9.27,14.682
2001-09-18,20,29.64,0,2,6,8.44,15.499
2001-09-19,22,28.61,0,4,14,7.08,18.631
2001-09-20,21,29.05,0,5,13,8.33,20.343
2001-09-21,8,28.86,0,6,10,9.14,20.575
2001-09-22,22,31.03,0,6,4,10.12,20.744
2001-09-23,20,31.43,0,3,9,9.66,21.299
2001-09-24,22,27.9,0,4,10,6.44,16.765
2001-09-25,12,29.4,0,4,4,6.88,15.174
2001-09-26,23,29.86,0,5,13,7.73,21.963
2001-09-27,6,30.8,0,2,15,8.13,25.971
2001-09-28,23,29.65,0,4,15,8.8,21.243
2001-09-29,17,30.96,0,6,11,11.05,25.101
2001-09-30,12,27.06,0,6,4,11.3,17.275
2001-10-01,11,28.82,0,4,7,8.7,15.675
2001-10-02,12,28.64,0,6,9,9.41,21.025
2001-10-03,22,30.19,0,5,12,9.97,23.159
